================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: AMEX_Yahoo
Date: 2026-09-02
Ranking Method: Baseline (Rule-Based)
Fallback Reason: model_stale
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      STRW        80.00   100.00     1.0000   POS         
2      DIT         80.00   100.00     1.0000   nan         
3      COE         80.00   100.00     1.0000   POS         
4      AULTPD      80.00   100.00     1.0000   nan         
5      SPY         79.18    98.64     0.0954   POS         
6      NAS         79.13    98.55     1.0000   nan         
7      IOR         78.98    98.30     0.3788   nan         
8      LGCY        78.38    97.30     1.0000   nan         
9      AAp         78.26    97.09     1.0000   nan         
10     SACHPA      78.06    96.76     1.0000   nan         
11     COHN        77.99    96.65     1.0000   nan         
12     UEC         77.91    96.51     1.0000   nan         
13     SCCB        77.69    96.15     0.3304   nan         
14     PLMr        77.64    96.07     1.0000   nan         
15     BCV         77.53    95.88     1.0000   nan         
16     ERH         77.49    95.82     1.0000   nan         
17     ATEK        77.40    95.67     0.1906   nan         
18     UUUU        77.33    95.55     1.0000   nan         
19     TMP         77.27    95.44     1.0000   nan         
20     FAX         77.23    95.39     1.0000   nan         
21     RLGT        77.18    95.30     1.0000   nan         
22     SCCF        77.14    95.23     1.0000   nan         
23     CMCL        77.02    95.03     1.0000   nan         
24     GLV         76.98    94.97     1.0000   nan         
25     SCCC        76.92    94.86     0.2194   nan         
26     CNDA        76.91    94.85     0.1988   nan         
27     INTT        76.82    94.70     1.0000   nan         
28     BKTI        76.77    94.62     1.0000   nan         
29     MXC         76.68    94.46     1.0000   nan         
30     EVI         76.67    94.44     1.0000   nan         
31     PTHS        76.60    94.33     1.0000   nan         
32     BHM         76.53    94.22     1.0000   nan         
33     MHH         76.48    94.13     1.0000   nan         
34     SCCE        76.46    94.11     1.0000   nan         
35     SLSR        76.38    93.97     1.0000   nan         
36     CKX         76.37    93.95     1.0000   nan         
37     GRAF        76.35    93.91     1.0000   nan         
38     RIFR        76.35    93.91     0.1352   POS         
39     AEF         76.34    93.90     1.0000   nan         
40     ELLO        76.32    93.87     1.0000   nan         
41     VFL         76.28    93.80     1.0000   nan         
42     DMYY        76.25    93.76     1.0000   nan         
43     CET         76.17    93.61     1.0000   nan         
44     INFU        76.17    93.61     1.0000   nan         
45     UMAC        76.14    93.57     1.0000   nan         
46     GTE         76.11    93.51     1.0000   nan         
47     ELMD        76.03    93.38     1.0000   nan         
48     ESP         75.98    93.29     1.0000   nan         
49     INLX        75.94    93.24     1.0000   nan         
50     NBH         75.81    93.02     1.0000   nan         

================================================================================
