# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-05-13
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,GLW,2026-05-06,DarvasBox,181.57,3.12x,54.2,Box:[158.50-176.75] Ht:10.3% Vol:3.12x Boxes:7 Stop:158.50
2,SB,2026-05-05,DarvasBox,7.11,2.48x,47.8,Box:[6.43-6.78] Ht:5.2% Vol:2.48x Boxes:4 Stop:6.43
3,TWO,2026-04-29,CupHandle,11.56,1.62x,36.2,Depth:20.8% Handle:0.4% Vol:1.62x Target:13.87
4,TWO,2026-05-11,CupHandle,12.62,3.58x,65.8,Depth:24.3% Handle:2.5% Vol:3.58x Target:15.44
5,PSTG,2026-05-11,CupHandle,87.34,4.69x,76.9,Depth:23.7% Handle:5.9% Vol:4.69x Target:104.97
6,CLDT,2026-05-07,DarvasBox,9.96,4.35x,66.5,Box:[8.43-8.93] Ht:5.6% Vol:4.35x Boxes:2 Stop:8.43
7,FG,2026-05-07,CupHandle,27.08,1.64x,41.4,Depth:25.9% Handle:1.0% Vol:1.64x Target:34.29
8,ARMK,2026-05-12,DarvasBox,48.41,3.24x,60.4,Box:[44.40-46.88] Ht:5.3% Vol:3.24x Boxes:9 Stop:44.40
9,PSTG,2026-05-07,CupHandle,76.05,1.33x,38.3,Depth:22.3% Handle:5.0% Vol:1.33x Target:92.38
10,TECK,2026-05-07,CupHandle,60.76,1.34x,38.4,Depth:24.1% Handle:1.1% Vol:1.34x Target:74.87
11,UAN,2026-04-29,CupHandle,133.27,1.59x,35.9,Depth:23.3% Handle:5.2% Vol:1.59x Target:162.44
12,TWO,2026-05-01,CupHandle,12.54,3.99x,59.9,Depth:20.4% Handle:1.3% Vol:3.99x Target:14.78
13,MIAX,2026-05-12,CupHandle,52.47,2.05x,50.5,Depth:22.5% Handle:0.9% Vol:2.05x Target:63.25
14,TWO,2026-05-04,CupHandle,12.23,1.67x,41.7,Depth:20.3% Handle:0.9% Vol:1.67x Target:14.47
15,HBM,2026-05-13,CupHandle,27.74,1.81x,48.1,Depth:23.2% Handle:2.5% Vol:1.81x Target:33.04
16,PSTG,2026-05-08,CupHandle,78.16,1.44x,44.4,Depth:23.6% Handle:10.0% Vol:1.44x Target:95.73
17,KRP,2026-04-30,DarvasBox,15.40,1.82x,36.2,Box:[13.79-15.11] Ht:8.7% Vol:1.82x Boxes:3 Stop:13.79
18,ELV,2026-05-13,CupHandle,399.64,1.91x,49.1,Depth:28.2% Handle:2.0% Vol:1.91x Target:507.80
19,RIO,2026-05-13,CupHandle,112.04,1.31x,43.1,Depth:17.3% Handle:0.6% Vol:1.31x Target:129.22
20,TECK,2026-05-06,CupHandle,62.01,1.61x,41.1,Depth:26.6% Handle:10.6% Vol:1.61x Target:78.17
