# Top 20 Chart Patterns - Last 20 Days
# Market: AMEX_Yahoo | End Date: 2026-07-22
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,SPY,2026-07-20,POS,N/A,1.00x,30.0,Peak=MA21
2,SPY,2026-07-17,POS,N/A,1.00x,30.0,Peak=MA21
3,SPY,2026-07-16,POS,N/A,1.00x,25.0,Peak=MA21
4,SPY,2026-07-15,POS,N/A,1.00x,25.0,Peak=MA21
5,SPY,2026-07-14,POS,N/A,1.00x,25.0,Peak=MA21
6,SPY,2026-07-13,POS,N/A,1.00x,25.0,Peak=MA21
7,SPY,2026-07-10,POS,N/A,1.00x,20.0,Peak=MA21
8,SPY,2026-07-09,POS,N/A,1.00x,20.0,Peak=MA21
9,SPY,2026-07-08,POS,N/A,1.00x,20.0,Peak=MA21
10,SPY,2026-07-07,POS,N/A,1.00x,20.0,Peak=MA21
11,SPY,2026-07-06,POS,N/A,1.00x,20.0,Peak=MA21
12,SPY,2026-07-02,POS,N/A,1.00x,20.0,Peak=MA21
