# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NASDAQ_Polygon | End Date: 2026-01-31
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,CNTA,2026-01-21,CupHandle,23.23,79.2,2,77.5,73.5,86.5,44.0,0.0
2,PESI,2026-01-28,CupHandle,15.56,76.7,2,81.2,63.9,59.4,58.5,0.0
3,BBGI,2026-01-26,CupHandle,5.58,74.1,3,73.3,57.3,94.8,100.0,0.0
4,OPCH,2026-01-13,CupHandle,34.75,73.3,3,72.4,87.7,55.7,67.8,1.0
5,WULF,2026-01-23,CupHandle,14.12,71.6,3,70.0,69.8,93.2,60.9,1.0
6,SMTC,2026-01-22,CupHandle,80.12,69.4,3,70.6,82.6,59.4,43.2,0.0
7,COO,2026-01-12,CupHandle,83.23,69.2,3,69.1,74.3,77.1,58.5,0.0
8,OVLY,2026-01-21,CupHandle,32.17,68.0,3,73.7,88.3,29.2,66.1,17.5
9,CIZN,2026-01-30,CupHandle,8.22,68.0,3,71.5,60.7,99.0,40.5,20.3
10,JRVR,2026-01-12,CupHandle,6.59,67.1,3,72.7,69.0,53.1,48.0,0.0
11,SHLS,2026-01-16,CupHandle,9.27,66.6,3,74.9,48.3,69.8,48.3,0.0
12,GSM,2026-01-15,CupHandle,5.31,66.4,3,69.1,69.9,65.6,67.1,0.0
13,URNJ,2026-01-20,CupHandle,32.66,66.1,3,75.2,70.4,17.2,90.7,1.6
14,ZEUS,2026-01-20,CupHandle,49.17,66.0,3,81.9,24.5,60.4,60.1,5.0
15,VEON,2026-01-22,CupHandle,55.28,65.6,3,76.3,28.9,89.1,53.5,4.9
16,DVXP,2026-01-27,CupHandle,25.04,65.4,3,76.6,50.2,50.0,100.0,21.0
17,NVTS,2026-01-13,CupHandle,9.46,65.0,3,68.7,72.4,58.9,62.6,2.0
18,FLEX,2026-01-29,CupHandle,65.47,64.8,4,66.9,84.0,53.6,45.5,0.0
19,INDB,2026-01-22,CupHandle,80.54,64.6,4,66.2,89.4,43.8,61.1,0.0
20,WSTL,2026-01-20,CupHandle,6.12,64.6,4,67.9,54.9,99.5,71.9,16.8
21,LNSR,2026-01-27,CupHandle,12.48,64.5,4,76.0,36.4,78.6,54.1,13.7
22,RUSHB,2026-01-21,CupHandle,60.73,64.3,4,71.6,59.7,67.7,59.5,14.8
23,CPSS,2026-01-13,CupHandle,9.40,64.1,4,76.7,59.1,36.5,56.1,16.5
24,AMAL,2026-01-22,CupHandle,38.44,63.8,4,76.4,72.3,0.5,62.3,0.7
25,MCHPP,2026-01-20,CupHandle,65.27,63.8,4,76.4,35.1,50.0,100.0,0.0
26,NN,2026-01-22,CupHandle,17.01,63.3,4,74.2,67.7,16.7,71.3,0.0
27,HIMX,2026-01-28,CupHandle,8.52,63.1,4,68.0,72.6,54.7,46.5,0.0
28,MCHP,2026-01-20,CupHandle,73.17,62.4,4,76.2,69.2,3.6,49.3,2.0
29,FIP,2026-01-21,CupHandle,5.99,62.3,4,76.7,36.2,51.0,53.4,0.0
30,MDRR,2026-01-13,CupHandle,13.04,61.7,4,74.8,47.4,68.8,14.3,20.4
31,CCFE,2026-01-21,CupHandle,28.39,60.8,4,70.4,57.2,50.0,100.0,20.0
32,GDEV,2026-01-23,CupHandle,22.05,60.6,4,70.3,50.0,67.7,100.0,27.7
33,EXEL,2026-01-12,CupHandle,44.06,60.3,4,70.8,61.4,38.0,48.4,0.0
34,UNB,2026-01-30,CupHandle,24.89,59.9,4,69.1,59.9,59.4,58.8,17.8
35,STRS,2026-01-26,CupHandle,26.48,59.9,4,71.5,68.9,27.1,72.1,20.9
36,WGMI,2026-01-20,CupHandle,48.21,59.7,4,71.8,39.5,61.5,57.1,0.0
37,PYZ,2026-01-20,CupHandle,126.01,59.5,4,75.5,49.0,37.0,55.2,21.7
38,QCRH,2026-01-28,CupHandle,89.49,59.4,4,68.3,63.2,47.9,53.2,4.2
39,DGICB,2026-01-20,CupHandle,17.38,59.3,4,73.0,36.7,78.6,36.5,22.6
40,BKCH,2026-01-20,CupHandle,77.84,59.2,4,70.7,30.0,80.7,62.5,1.0
41,SPRX,2026-01-20,CupHandle,41.35,59.2,4,73.0,21.1,81.2,56.1,0.0
42,HTCO,2026-01-23,CupHandle,9.10,59.1,4,75.6,33.9,39.1,100.0,12.8
43,FUSB,2026-01-23,CupHandle,14.50,59.0,4,70.8,56.4,50.0,58.6,19.6
44,VMD,2026-01-26,CupHandle,7.43,58.8,4,61.9,72.2,67.7,55.5,0.0
45,ECBK,2026-01-27,CupHandle,17.50,58.4,4,62.8,67.0,82.8,49.1,18.4
46,AIPO,2026-01-16,CupHandle,24.62,58.3,4,65.2,66.0,50.0,67.3,0.0
47,PDP,2026-01-28,CupHandle,125.46,58.3,4,64.6,67.2,67.2,53.7,16.1
48,SANA,2026-01-22,CupHandle,5.00,58.3,4,59.2,64.7,93.2,59.4,0.0
49,RUN,2026-01-22,CupHandle,18.76,58.2,4,63.8,68.0,58.3,56.7,0.0
50,ENPH,2026-01-22,CupHandle,40.48,58.1,4,74.7,50.0,14.1,65.4,1.3
