# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Polygon | End Date: 2026-01-21
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,WPP,2026-01-05,CupHandle,23.55,80.0,2,84.5,71.4,50.5,38.9,0.0
2,BDX,2026-01-05,CupHandle,198.96,73.8,3,71.0,88.7,71.9,46.1,0.0
3,BAP,2026-01-13,CupHandle,311.50,73.6,3,74.6,67.4,83.3,65.3,8.0
4,OI,2026-01-05,CupHandle,15.25,73.4,3,78.0,66.7,64.1,32.0,0.0
5,AVNS,2026-01-15,CupHandle,12.34,72.4,3,69.7,89.9,64.6,64.7,0.0
6,IHS,2026-01-07,CupHandle,7.64,72.1,3,75.0,64.9,72.9,53.0,0.0
7,LTM,2026-01-13,CupHandle,58.47,71.9,3,75.5,71.2,52.6,71.6,0.0
8,OOMA,2026-01-13,CupHandle,12.12,71.5,3,71.7,63.6,92.2,55.1,0.0
9,JEF,2026-01-07,CupHandle,64.67,70.4,3,79.2,64.2,40.6,41.7,1.0
10,RYI,2026-01-20,CupHandle,28.79,69.6,3,71.8,74.4,60.9,62.1,0.0
11,ASGN,2026-01-21,CupHandle,51.05,69.3,3,76.8,79.2,18.8,60.4,0.0
12,CYD,2026-01-21,CupHandle,44.17,69.0,3,78.4,55.5,51.6,43.5,1.0
13,BALL,2026-01-06,CupHandle,54.30,67.9,3,73.2,66.3,63.0,35.0,0.0
14,SMFG,2026-01-09,CupHandle,20.20,67.8,3,72.3,66.9,60.9,56.7,0.0
15,GFI,2026-01-15,CupHandle,49.84,67.3,3,72.1,67.3,57.8,60.1,0.0
16,PAGS,2026-01-21,CupHandle,10.49,67.3,3,67.6,73.3,78.6,55.7,0.0
17,AVNT,2026-01-15,CupHandle,36.00,67.2,3,73.5,67.6,48.4,67.8,4.1
18,CNM,2026-01-15,CupHandle,57.86,66.3,3,76.2,56.9,42.2,59.0,0.0
19,GBCI,2026-01-15,CupHandle,48.39,66.2,3,67.6,84.1,55.2,52.4,0.0
20,SNDR,2026-01-06,CupHandle,28.56,66.0,3,66.6,70.8,85.4,42.3,0.0
21,DAR,2026-01-15,CupHandle,40.43,65.4,3,74.9,67.4,28.1,61.9,0.6
22,AD,2026-01-14,CupHandle,57.19,65.2,3,70.3,67.1,50.0,84.2,0.0
23,TPB,2026-01-09,CupHandle,109.97,65.1,3,72.4,65.6,51.0,40.8,0.0
24,CVLG,2026-01-06,CupHandle,24.66,64.4,4,73.7,72.2,28.1,39.6,0.0
25,BROS,2026-01-06,CupHandle,63.26,64.4,4,72.7,57.1,54.2,57.0,0.0
26,IPI,2026-01-12,CupHandle,31.39,63.6,4,74.8,68.3,15.1,67.7,0.8
27,R,2026-01-16,CupHandle,190.74,63.5,4,70.5,72.4,39.6,52.8,0.0
28,GBX,2026-01-07,CupHandle,50.61,63.4,4,75.7,64.1,20.8,44.9,0.0
29,CRK,2026-01-05,CupHandle,22.56,63.3,4,65.0,82.0,56.8,60.8,1.0
30,GIL,2026-01-21,CupHandle,66.29,63.3,4,66.1,75.2,54.7,78.2,0.0
31,CTOS,2026-01-21,CupHandle,6.45,63.2,4,64.3,72.6,80.7,43.4,0.0
32,YOU,2026-01-16,CupHandle,34.92,62.9,4,63.7,66.9,88.5,55.9,0.0
33,THO,2026-01-13,CupHandle,115.56,62.8,4,63.5,66.4,85.9,70.8,0.0
34,WEX,2026-01-12,CupHandle,160.83,62.7,4,64.7,82.3,59.9,39.7,0.0
35,BV,2026-01-21,CupHandle,13.49,62.3,4,66.4,68.1,65.6,55.2,0.0
36,MTRN,2026-01-15,CupHandle,149.19,62.2,4,66.8,55.3,84.4,53.2,0.4
37,ONON,2026-01-09,CupHandle,49.12,62.0,4,69.8,70.8,39.1,48.2,0.0
38,BTU,2026-01-09,CupHandle,33.80,61.9,4,70.9,58.2,49.0,59.8,0.0
39,TLK,2026-01-12,CupHandle,21.39,61.9,4,66.9,49.2,92.2,51.5,0.0
40,MTW,2026-01-21,CupHandle,13.53,61.9,4,67.8,70.4,48.4,60.2,0.0
41,AMBQ,2026-01-13,CupHandle,32.88,61.7,4,75.6,36.9,50.0,65.5,0.0
42,REVG,2026-01-13,CupHandle,68.15,61.6,4,71.0,44.4,75.5,37.7,0.0
43,MATX,2026-01-15,CupHandle,145.97,61.5,4,67.3,82.2,33.9,71.7,9.6
44,PX,2026-01-16,CupHandle,10.71,61.5,4,66.3,74.8,42.2,82.9,0.0
45,PEN,2026-01-06,CupHandle,316.97,61.4,4,70.2,69.6,29.7,81.6,6.2
46,HRI,2026-01-06,CupHandle,164.53,61.4,4,70.1,64.9,39.6,60.6,0.0
47,WAL,2026-01-21,CupHandle,90.73,61.4,4,64.4,86.2,42.2,59.0,0.0
48,MUX,2026-01-20,CupHandle,24.49,61.3,4,74.4,50.0,36.5,66.2,3.6
49,AIN,2026-01-08,CupHandle,55.24,61.2,4,76.0,30.0,62.0,46.0,0.0
50,CRT,2026-01-20,CupHandle,8.65,60.9,4,61.9,84.2,67.7,71.1,16.2
