# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-03-16
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,LFMDP,2026-02-26,CupHandle,22.79,1.91x,39.1,Depth:22.5% Handle:2.4% Vol:1.91x Target:28.02
2,LSAK,2026-03-13,CupHandle,4.92,2.88x,58.8,Depth:23.8% Handle:10.2% Vol:2.88x Target:6.05
3,LFMDP,2026-02-25,CupHandle,22.67,1.43x,34.3,Depth:21.8% Handle:0.6% Vol:1.43x Target:27.70
4,GDEV,2026-02-25,CupHandle,16.44,1.74x,37.4,Depth:27.2% Handle:0.0% Vol:1.74x Target:20.65
5,INTG,2026-03-11,CupHandle,35.90,2.13x,51.3,Depth:23.5% Handle:0.3% Vol:2.13x Target:43.55
6,LFMDP,2026-03-12,CupHandle,22.93,1.43x,44.3,Depth:22.5% Handle:3.4% Vol:1.43x Target:28.18
7,FGBIP,2026-03-02,CupHandle,17.97,2.37x,43.7,Depth:21.3% Handle:0.0% Vol:2.37x Target:21.87
8,RLAY,2026-02-27,DarvasBox,10.26,3.80x,56.0,Box:[8.42-9.54] Ht:11.7% Vol:3.80x Boxes:3 Stop:8.42
9,VMD,2026-03-09,DarvasBox,9.29,3.65x,59.5,Box:[7.98-8.94] Ht:10.7% Vol:3.65x Boxes:1 Stop:7.98
10,LSAK,2026-03-04,CupHandle,4.62,1.35x,33.5,Depth:23.3% Handle:4.5% Vol:1.35x Target:5.72
11,MBBC,2026-02-27,DarvasBox,14.04,4.71x,65.1,Box:[13.04-13.75] Ht:5.1% Vol:4.71x Boxes:1 Stop:13.04
12,LFMDP,2026-03-10,CupHandle,23.14,2.84x,53.4,Depth:21.1% Handle:9.1% Vol:2.84x Target:27.97
13,HECO,2026-02-25,CupHandle,44.85,1.72x,37.2,Depth:12.9% Handle:0.0% Vol:1.72x Target:50.50
14,QCMD,2026-03-10,CupHandle,27.04,3.01x,55.1,Depth:30.5% Handle:0.0% Vol:3.01x Target:34.92
15,NYAX,2026-03-09,CupHandle,56.03,1.68x,41.8,Depth:25.0% Handle:4.9% Vol:1.68x Target:69.07
16,DVUT,2026-03-09,CupHandle,29.22,3.05x,55.5,Depth:16.5% Handle:0.0% Vol:3.05x Target:34.01
17,QCMD,2026-03-06,CupHandle,26.91,2.50x,50.0,Depth:29.4% Handle:0.0% Vol:2.50x Target:34.40
18,QCMD,2026-03-09,CupHandle,26.45,2.35x,48.5,Depth:30.9% Handle:0.7% Vol:2.35x Target:34.47
19,NSYS,2026-03-12,CupHandle,9.51,2.63x,56.3,Depth:31.6% Handle:0.0% Vol:2.63x Target:12.51
20,INTG,2026-03-12,CupHandle,36.30,3.69x,66.9,Depth:23.1% Handle:10.3% Vol:3.69x Target:43.79
