# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Yahoo | End Date: 2026-05-21
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,GLW,2026-05-06,DarvasBox,181.57,93.2,1,86.5,74.1,100.0,40.3,26.9
2,PSTG,2026-05-11,CupHandle,87.34,83.5,1,76.3,63.3,100.0,42.6,24.2
3,ING,2026-05-21,CupHandle,30.66,82.4,1,71.8,74.0,88.5,58.2,0.7
4,MFG,2026-05-21,CupHandle,9.27,79.3,1,70.2,74.2,89.1,67.8,0.0
5,ENB,2026-05-14,DarvasBox,56.22,77.5,1,79.1,66.4,26.0,59.6,0.0
6,CLDT,2026-05-07,DarvasBox,9.96,75.8,1,81.8,70.5,18.8,56.9,1.5
7,TWO,2026-05-11,CupHandle,12.62,74.9,1,79.0,26.7,82.3,31.5,0.7
8,KNX,2026-05-15,DarvasBox,69.06,74.7,1,69.8,68.0,100.0,43.1,11.4
9,DAL,2026-05-20,CupHandle,74.12,74.7,1,68.7,68.0,88.0,52.6,0.0
10,SNDR,2026-05-14,CupHandle,33.21,73.2,1,79.2,71.8,14.6,39.7,0.7
11,RNST,2026-05-20,CupHandle,41.12,73.0,1,74.3,69.1,91.1,57.2,7.1
12,AAMI,2026-05-11,DarvasBox,72.38,72.9,1,81.1,70.4,30.7,57.1,0.0
13,UBS,2026-05-21,CupHandle,47.57,72.9,1,73.2,43.7,85.4,53.7,5.7
14,CUZ,2026-05-12,CupHandle,26.43,72.3,1,75.9,57.6,82.3,24.6,17.1
15,SMFG,2026-05-13,CupHandle,22.33,72.1,1,65.2,67.1,89.1,45.6,0.0
16,WT,2026-05-13,CupHandle,19.49,72.0,1,77.6,36.0,76.6,42.0,11.4
17,BRIE,2026-05-06,Spoon,29.79,71.7,1,100.0,67.8,50.0,22.9,11.4
18,DELL,2026-05-06,CupHandle,238.80,71.6,1,66.9,68.0,100.0,53.9,18.1
19,THQ,2026-05-20,CupHandle,18.63,71.6,1,70.8,57.7,90.1,57.8,0.0
20,IGD,2026-05-21,DarvasBox,6.25,71.1,1,75.1,71.8,55.2,61.4,0.0
21,MS,2026-05-21,CupHandle,200.51,71.0,1,66.1,68.0,100.0,51.9,11.4
22,IHG,2026-05-20,CupHandle,155.10,70.1,1,72.6,62.2,100.0,52.5,11.4
23,RAMP,2026-05-18,CupHandle,37.77,70.0,1,75.4,59.0,43.2,100.0,6.4
24,VAC,2026-05-05,CupHandle,73.72,69.7,1,79.6,72.7,40.1,46.9,2.9
25,CVEO,2026-05-14,DarvasBox,35.56,69.3,1,86.1,44.7,12.0,42.0,3.5
26,GPRK,2026-05-18,CupHandle,10.39,69.2,1,75.4,23.9,84.4,53.0,11.4
27,ARMK,2026-05-12,DarvasBox,48.41,68.9,1,90.6,30.9,18.2,37.0,0.7
28,FTW,2026-05-15,CupHandle,11.86,68.6,1,66.7,50.8,94.3,68.2,4.3
29,KRC,2026-05-07,CupHandle,34.57,68.4,1,74.9,59.5,49.0,41.2,22.9
30,BZH,2026-05-11,CupHandle,25.16,68.1,1,81.0,68.0,5.2,32.6,17.9
31,ULS,2026-05-07,CupHandle,99.41,67.9,1,73.1,63.9,29.7,45.6,0.7
32,TECK,2026-05-19,CupHandle,59.38,67.7,1,77.1,69.5,54.2,52.5,12.9
33,CXW,2026-05-06,CupHandle,21.17,67.4,1,81.3,62.0,21.9,34.3,7.1
34,NBXG,2026-05-14,CupHandle,15.81,66.7,1,67.1,61.1,58.3,73.9,5.7
35,H,2026-05-15,CupHandle,168.78,66.4,1,66.8,68.0,78.6,46.1,0.0
36,SAH,2026-05-01,CupHandle,76.43,66.3,1,71.9,69.4,8.3,53.0,2.9
37,MUFG,2026-05-15,CupHandle,18.84,66.1,1,63.5,52.9,88.5,59.1,0.0
38,TDI,2026-05-06,Spoon,45.65,66.1,1,73.4,59.4,90.6,55.1,5.6
39,LGI,2026-05-08,CupHandle,17.95,65.9,1,68.2,74.6,100.0,42.3,20.8
40,INN,2026-05-14,CupHandle,5.40,65.7,1,71.0,65.7,34.9,39.9,5.7
41,AA,2026-05-13,CupHandle,68.44,65.5,1,60.3,68.0,100.0,55.9,11.4
42,STVN,2026-05-07,CupHandle,18.03,65.4,1,74.8,31.0,63.0,26.7,22.9
43,EOS,2026-05-21,CupHandle,22.76,65.4,1,70.6,74.6,79.7,63.7,5.7
44,BNS,2026-05-21,CupHandle,79.43,65.1,1,63.2,68.0,94.3,55.5,0.0
45,MIAX,2026-05-12,CupHandle,52.47,65.1,1,79.5,15.0,50.0,44.7,11.4
46,TPVG,2026-05-18,CupHandle,5.78,65.0,1,75.0,26.0,73.4,44.2,11.4
47,ECAT,2026-05-13,CupHandle,15.58,64.7,1,69.0,52.9,84.4,36.3,5.7
48,VIRT,2026-05-19,DarvasBox,54.16,64.7,1,82.1,25.4,18.8,44.1,12.1
49,CPAI,2026-05-21,CupHandle,48.60,64.3,1,64.8,69.9,85.9,71.6,8.9
50,MHLA,2026-05-20,CupHandle,12.71,64.1,1,81.5,19.5,93.8,71.6,36.9
