# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Yahoo | End Date: 2026-05-27
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,PSTG,2026-05-11,CupHandle,87.34,84.9,1,76.3,73.2,100.0,60.4,12.1
2,STXE,2026-05-27,DarvasBox,50.85,80.4,1,82.0,73.3,45.3,46.7,15.8
3,ARMK,2026-05-12,DarvasBox,48.41,80.3,1,90.6,74.7,15.1,31.6,0.7
4,DAL,2026-05-26,CupHandle,79.39,79.1,1,77.9,68.0,68.8,54.0,1.1
5,TD,2026-05-27,DarvasBox,112.20,78.7,1,84.3,64.6,71.4,73.1,0.0
6,DY,2026-05-27,DarvasBox,529.13,77.2,1,87.7,68.0,13.5,82.7,7.3
7,CVEO,2026-05-14,DarvasBox,35.56,77.2,1,86.1,60.7,10.9,49.0,2.7
8,IHG,2026-05-27,CupHandle,159.17,75.7,1,70.4,65.6,93.2,57.2,0.0
9,TKR,2026-05-26,DarvasBox,127.42,75.2,1,81.0,68.3,20.3,45.2,0.7
10,KNX,2026-05-15,DarvasBox,69.06,74.0,1,69.8,68.0,100.0,34.6,11.4
11,SNDR,2026-05-14,CupHandle,33.21,73.7,1,79.2,73.1,24.0,33.2,0.0
12,BNS,2026-05-27,DarvasBox,80.68,73.7,1,83.8,59.7,80.7,70.4,0.0
13,H,2026-05-15,CupHandle,168.78,72.6,1,66.8,68.0,94.3,60.0,0.0
14,CMC,2026-05-27,CupHandle,76.57,71.8,1,68.4,68.0,76.6,49.3,0.0
15,TECK,2026-05-19,CupHandle,59.38,71.7,1,77.1,48.1,50.0,49.6,1.4
16,IGD,2026-05-21,DarvasBox,6.25,71.6,1,75.1,68.7,62.5,59.5,0.0
17,HGV,2026-05-27,CupHandle,51.38,71.5,1,73.2,68.0,49.0,50.3,0.0
18,CUZ,2026-05-12,CupHandle,26.43,71.5,1,75.9,67.6,99.5,29.4,5.7
19,WINN,2026-05-15,CupHandle,32.51,71.0,1,72.1,67.0,89.1,59.8,0.0
20,LEA,2026-05-27,CupHandle,145.74,70.8,1,76.5,72.0,24.0,47.5,0.0
21,SNX,2026-05-27,DarvasBox,246.76,70.7,1,79.2,55.0,57.3,55.7,0.0
22,GF,2026-05-27,CupHandle,11.96,70.0,1,74.2,71.4,70.8,75.1,5.9
23,SLG,2026-05-27,CupHandle,45.20,68.6,1,75.0,68.0,72.9,46.8,11.4
24,VSTS,2026-05-12,DarvasBox,12.00,68.5,1,79.6,66.6,6.8,44.1,0.7
25,MGM,2026-05-27,DarvasBox,41.95,68.0,1,69.9,68.0,58.9,59.4,1.2
26,CLDT,2026-05-07,DarvasBox,9.96,67.8,1,81.8,51.6,6.2,32.4,0.0
27,LXFR,2026-05-22,CupHandle,16.23,67.6,1,71.3,74.9,30.7,59.2,0.0
28,HIW,2026-05-14,CupHandle,26.21,67.5,1,71.0,71.8,85.4,36.9,11.4
29,WT,2026-05-13,CupHandle,19.49,67.4,1,77.6,19.0,86.5,34.4,11.4
30,NBXG,2026-05-22,CupHandle,15.95,66.6,1,70.6,60.2,49.0,87.8,0.2
31,SCCO,2026-05-12,CupHandle,188.85,66.5,1,64.5,74.1,59.9,38.9,0.7
32,INN,2026-05-27,CupHandle,5.67,66.3,1,68.7,60.0,68.8,63.5,17.1
33,MS,2026-05-27,CupHandle,201.61,66.2,1,65.9,68.0,100.0,50.2,11.4
34,CLF,2026-05-27,CupHandle,12.83,65.9,1,73.6,68.0,27.6,72.0,9.0
35,CNNE,2026-05-27,CupHandle,14.59,65.6,1,76.0,71.7,28.1,43.3,12.1
36,UBS,2026-05-21,CupHandle,47.57,65.6,1,73.2,30.8,97.4,42.5,0.0
37,NEU,2026-05-27,CupHandle,779.10,65.4,1,65.6,68.0,74.5,58.2,10.1
38,LGI,2026-05-08,CupHandle,17.95,65.3,1,68.2,71.7,93.2,49.4,13.9
39,LYV,2026-05-20,CupHandle,164.44,64.8,1,69.6,62.4,75.5,31.8,0.0
40,HBM,2026-05-27,CupHandle,26.59,64.8,1,68.2,74.3,43.2,49.1,2.1
41,SA,2026-05-20,CupHandle,30.65,64.4,1,69.1,47.1,53.1,36.0,0.7
42,RIO,2026-05-26,CupHandle,106.94,63.8,1,77.0,51.8,37.0,50.7,0.7
43,GPRK,2026-05-18,CupHandle,10.39,63.4,1,75.4,50.4,77.1,40.0,11.4
44,FGSN,2026-05-20,CupHandle,22.03,63.1,1,68.6,70.8,99.5,63.0,21.5
45,DEA,2026-05-21,Spoon,23.88,62.8,1,71.4,72.3,66.1,38.3,0.0
46,AA,2026-05-22,CupHandle,71.38,62.7,1,58.7,68.3,100.0,56.9,12.9
47,YETI,2026-05-27,CupHandle,46.97,62.6,1,73.1,65.1,8.9,41.7,6.4
48,AMG,2026-05-27,CupHandle,307.92,62.4,1,67.2,55.1,93.8,51.2,7.1
49,CX,2026-05-14,CupHandle,13.16,62.3,1,67.9,74.3,51.6,31.6,7.1
50,STVN,2026-05-07,CupHandle,18.03,62.1,1,74.8,73.8,38.5,19.8,11.4
