# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Yahoo | End Date: 2026-06-23
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,GUT,2026-06-23,DarvasBox,6.48,90.8,1,87.4,72.6,64.6,69.4,0.0
2,ACA,2026-06-22,DarvasBox,144.90,90.2,1,87.8,68.0,70.3,100.0,2.4
3,VNOpN,2026-06-16,CupHandle,17.53,87.1,1,100.0,65.0,100.0,72.2,22.6
4,AXP,2026-06-15,Spoon,335.38,87.0,1,100.0,68.0,49.2,56.7,12.2
5,GVA,2026-06-23,DarvasBox,150.08,83.6,1,89.8,70.4,27.1,63.0,0.0
6,LION,2026-06-16,DarvasBox,16.36,83.5,1,90.5,71.8,58.9,44.3,0.7
7,DCO,2026-06-11,DarvasBox,165.00,81.9,1,82.2,55.0,59.9,50.6,0.0
8,KREF,2026-06-08,CupHandle,6.97,81.8,1,81.0,53.1,70.8,31.8,18.6
9,GRC,2026-06-11,DarvasBox,82.82,81.7,1,86.4,23.1,90.6,67.9,0.0
10,VVV,2026-06-18,CupHandle,38.07,81.6,1,74.6,68.1,96.9,52.7,0.0
11,FOA,2026-06-23,CupHandle,20.86,81.4,1,77.0,68.0,75.0,52.6,14.3
12,PRSU,2026-06-23,DarvasBox,52.18,80.2,1,78.5,79.1,53.6,68.4,4.7
13,IVT,2026-06-08,DarvasBox,34.28,79.7,1,93.8,73.8,2.1,51.7,11.4
14,CNI,2026-06-08,DarvasBox,120.81,79.1,1,84.4,64.8,43.8,43.6,0.0
15,CPA,2026-06-18,CupHandle,151.04,78.8,1,77.7,68.0,66.7,51.9,0.0
16,CDP,2026-06-09,DarvasBox,34.12,77.9,1,82.3,71.4,0.5,53.6,0.0
17,AERO,2026-06-16,CupHandle,17.24,77.2,1,74.9,67.8,50.0,46.7,0.0
18,GFF,2026-06-17,CupHandle,88.84,76.8,1,76.6,68.0,47.4,60.0,11.4
19,YETI,2026-06-18,CupHandle,48.97,75.2,1,76.0,70.2,43.2,45.9,11.4
20,TFIN,2026-06-15,CupHandle,74.77,75.2,1,76.0,68.0,37.5,49.5,0.0
21,CW,2026-06-18,DarvasBox,771.93,74.6,1,84.2,41.0,49.5,63.4,11.6
22,GE,2026-06-18,CupHandle,357.64,74.3,1,76.9,55.0,63.0,57.5,0.4
23,XHR,2026-06-03,DarvasBox,17.76,74.0,1,81.8,51.6,36.5,45.0,0.7
24,AGM,2026-06-23,CupHandle,189.38,73.7,1,77.4,68.0,23.4,47.8,0.0
25,UVE,2026-06-23,CupHandle,39.97,73.5,1,70.4,68.0,86.5,47.7,0.0
26,FUL,2026-06-17,CupHandle,64.77,73.4,1,74.5,49.8,52.1,58.9,0.0
27,FVR,2026-06-09,DarvasBox,19.47,73.2,1,79.2,60.4,23.4,58.1,11.4
28,ABX,2026-06-18,CupHandle,9.25,73.0,1,72.1,74.7,75.0,55.4,0.0
29,CUZ,2026-06-16,CupHandle,28.61,72.9,1,77.2,66.7,23.4,50.5,11.4
30,SWK,2026-06-18,CupHandle,86.75,72.9,1,77.4,67.9,32.8,69.2,11.4
31,WKC,2026-06-16,CupHandle,31.37,72.7,1,75.0,52.1,57.3,80.5,11.4
32,BFS,2026-06-10,DarvasBox,37.82,72.5,1,75.5,71.1,19.3,54.7,11.1
33,BOOT,2026-06-22,CupHandle,178.46,72.3,1,74.2,70.5,18.8,59.3,5.7
34,IIPR,2026-06-11,CupHandle,61.77,72.2,1,71.8,68.0,62.5,30.8,11.4
35,PDM,2026-06-10,CupHandle,9.12,71.8,1,77.6,54.1,21.9,44.1,0.0
36,SAFE,2026-06-16,CupHandle,15.69,71.3,1,70.2,74.1,33.3,52.6,11.4
37,GDOT,2026-06-23,CupHandle,13.20,71.2,1,71.7,80.1,28.6,58.8,0.0
38,WRBY,2026-06-18,CupHandle,25.96,71.0,1,66.9,71.6,67.7,88.1,0.0
39,DIN,2026-06-15,CupHandle,32.29,71.0,1,69.7,56.3,81.2,36.9,0.0
40,KWR,2026-06-09,CupHandle,142.94,70.9,1,70.7,68.9,56.8,48.6,0.0
41,ABCB,2026-06-16,CupHandle,88.47,70.7,1,71.7,70.7,38.0,61.1,0.0
42,CPF,2026-06-16,DarvasBox,36.06,70.4,1,71.3,71.5,37.5,60.0,0.0
43,ENVA,2026-06-11,CupHandle,189.59,70.2,1,77.7,68.0,25.5,66.3,6.2
44,FBP,2026-06-11,DarvasBox,25.00,70.2,1,68.4,72.4,56.8,51.7,1.2
45,HBB,2026-06-23,CupHandle,20.66,70.2,1,68.0,68.0,90.6,60.3,22.8
46,ODC,2026-06-04,DarvasBox,84.08,70.1,1,88.2,55.1,2.6,44.9,11.4
47,RBC,2026-06-18,DarvasBox,639.18,69.9,1,73.2,32.5,84.4,50.9,0.0
48,GTES,2026-06-23,CupHandle,27.25,69.8,1,80.2,15.0,52.6,51.0,0.0
49,BOW,2026-06-23,CupHandle,28.24,69.8,1,74.6,68.0,46.9,41.8,0.0
50,EVT,2026-06-04,DarvasBox,27.16,69.8,1,77.0,69.4,25.5,34.8,0.0
