# Top 20 Chart Patterns - Last 20 Days
# Market: AMEX_Yahoo | End Date: 2026-03-02
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,AXIL,2026-02-26,CupHandle,7.00,1.85x,48.5,Depth:28.5% Handle:0.0% Vol:1.85x Target:8.71
2,BDL,2026-02-25,CupHandle,33.70,7.20x,80.0,Depth:18.1% Handle:0.0% Vol:7.20x Target:39.77
3,INTT,2026-02-27,DarvasBox,11.65,5.59x,78.0,Box:[9.35-10.88] Ht:14.1% Vol:5.59x Boxes:2 Stop:9.35
4,AXIL,2026-03-02,CupHandle,7.10,2.47x,54.7,Depth:27.3% Handle:0.0% Vol:2.47x Target:8.71
5,BDL,2026-02-18,CupHandle,33.95,1.85x,38.5,Depth:15.2% Handle:10.1% Vol:1.85x Target:38.90
6,SIM,2026-02-20,CupHandle,32.48,3.39x,58.9,Depth:15.4% Handle:0.0% Vol:3.39x Target:37.23
7,CIX,2026-03-02,CupHandle,24.87,2.15x,51.5,Depth:17.6% Handle:4.4% Vol:2.15x Target:29.22
8,CIX,2026-02-10,CupHandle,24.50,1.38x,33.8,Depth:17.6% Handle:4.1% Vol:1.38x Target:28.85
9,BHM,2026-02-17,CupHandle,10.82,4.71x,67.1,Depth:15.5% Handle:3.6% Vol:4.71x Target:12.28
10,CKX,2026-02-20,CupHandle,11.99,4.48x,69.8,Depth:22.3% Handle:12.9% Vol:4.48x Target:14.48
11,BKTI,2026-03-02,CupHandle,86.62,1.36x,43.6,Depth:28.1% Handle:7.4% Vol:1.36x Target:110.04
12,CIX,2026-02-13,CupHandle,24.58,1.40x,34.0,Depth:18.8% Handle:12.1% Vol:1.40x Target:29.27
13,NML,2026-02-27,DarvasBox,10.22,1.77x,45.7,Box:[9.62-9.94] Ht:3.2% Vol:1.77x Boxes:7 Stop:9.62
14,ISOU,2026-03-02,CupHandle,11.92,1.37x,43.7,Depth:32.2% Handle:15.0% Vol:1.37x Target:15.33
15,ACU,2026-02-17,CupHandle,44.32,1.35x,33.5,Depth:20.8% Handle:5.9% Vol:1.35x Target:53.60
16,ACU,2026-02-26,CupHandle,45.88,1.46x,44.6,Depth:21.8% Handle:9.5% Vol:1.46x Target:55.72
17,LGCY,2026-02-13,CupHandle,11.55,4.89x,68.9,Depth:21.3% Handle:9.3% Vol:4.89x Target:13.70
18,BKTI,2026-02-25,CupHandle,85.98,2.05x,50.5,Depth:30.0% Handle:14.3% Vol:2.05x Target:111.71
19,SCCF,2026-02-18,CupHandle,23.50,2.59x,45.9,Depth:12.5% Handle:8.5% Vol:2.59x Target:26.43
20,CMT,2026-03-02,CupHandle,19.76,2.52x,55.2,Depth:17.0% Handle:13.5% Vol:2.52x Target:23.17
