# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-08-24
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,SB,2026-08-21,DarvasBox,8.53,1.60x,44.0,Box:[7.24-8.04] Ht:10.0% Vol:1.60x Boxes:5 Stop:7.24
2,NEXA,2026-08-21,CupHandle,15.40,2.01x,50.1,Depth:23.6% Handle:2.8% Vol:2.01x Target:18.97
3,SAN,2026-08-05,DarvasBox,14.64,3.05x,48.5,Box:[13.15-14.39] Ht:8.6% Vol:3.05x Boxes:12 Stop:13.15
4,NMM,2026-08-20,DarvasBox,85.32,2.66x,54.6,Box:[77.64-82.84] Ht:6.3% Vol:2.66x Boxes:9 Stop:77.64
5,MRK,2026-08-19,DarvasBox,152.20,4.00x,68.0,Box:[126.22-135.05] Ht:6.5% Vol:4.00x Boxes:4 Stop:126.22
6,BWLP,2026-08-21,CupHandle,24.72,1.48x,44.8,Depth:22.6% Handle:3.9% Vol:1.48x Target:29.73
7,BEKE,2026-08-24,CupHandle,17.71,2.62x,56.2,Depth:22.5% Handle:7.0% Vol:2.62x Target:21.72
8,USFD,2026-08-06,DarvasBox,106.97,2.02x,38.2,Box:[93.14-105.17] Ht:11.4% Vol:2.02x Boxes:6 Stop:93.14
9,NOMD,2026-08-24,CupHandle,12.10,2.47x,54.7,Depth:29.2% Handle:12.4% Vol:2.47x Target:15.81
10,BWLP,2026-08-19,CupHandle,23.32,1.35x,43.5,Depth:21.6% Handle:4.0% Vol:1.35x Target:28.07
11,SCCO,2026-08-21,CupHandle,216.00,1.71x,47.1,Depth:19.1% Handle:9.2% Vol:1.71x Target:254.07
12,MBC,2026-08-04,CupHandle,9.48,1.77x,37.7,Depth:24.8% Handle:13.3% Vol:1.77x Target:11.65
13,NEXA,2026-08-04,CupHandle,13.50,1.80x,38.0,Depth:28.9% Handle:3.1% Vol:1.80x Target:17.10
14,RCUS,2026-08-17,CupHandle,29.56,1.59x,40.9,Depth:25.8% Handle:13.7% Vol:1.59x Target:37.15
15,AIZ,2026-08-05,DarvasBox,301.57,2.60x,44.0,Box:[271.75-284.12] Ht:4.4% Vol:2.60x Boxes:8 Stop:271.75
16,DB,2026-08-19,CupHandle,38.03,1.60x,46.0,Depth:25.6% Handle:3.4% Vol:1.60x Target:47.70
17,COLD,2026-08-24,CupHandle,15.11,1.33x,43.3,Depth:26.5% Handle:2.8% Vol:1.33x Target:18.90
18,DHT,2026-08-13,Spoon,19.20,0.88x,23.8,Depth:14.8% Roundness:0.05 Vol:0.88x Days:75
19,TRGP,2026-08-18,DarvasBox,297.77,2.34x,46.4,Box:[255.08-290.68] Ht:12.2% Vol:2.34x Boxes:8 Stop:255.08
20,BEKE,2026-08-21,CupHandle,17.75,2.67x,56.7,Depth:25.9% Handle:14.0% Vol:2.67x Target:22.57
