# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-07-14
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,GREEL,2026-07-09,DarvasBox,24.00,2.27x,50.7,Box:[21.30-22.95] Ht:7.2% Vol:2.27x Boxes:3 Stop:21.30
2,SCHL,2026-06-26,DarvasBox,46.01,2.31x,41.1,Box:[41.05-44.54] Ht:7.8% Vol:2.31x Boxes:7 Stop:41.05
3,LCFYW,2026-07-13,CupHandle,7.00,5.08x,80.0,Depth:23.6% Handle:0.0% Vol:5.08x Target:7.65
4,STRT,2026-06-26,CupHandle,82.64,3.38x,53.8,Depth:29.4% Handle:2.1% Vol:3.38x Target:106.42
5,RCKY,2026-06-24,CupHandle,40.65,1.46x,34.6,Depth:22.5% Handle:3.9% Vol:1.46x Target:49.93
6,LINE,2026-06-26,CupHandle,43.98,1.84x,38.4,Depth:25.5% Handle:10.1% Vol:1.84x Target:54.52
7,EUFN,2026-07-07,DarvasBox,40.10,1.56x,38.6,Box:[38.09-39.35] Ht:3.2% Vol:1.56x Boxes:10 Stop:38.09
8,RCKY,2026-06-26,CupHandle,41.28,3.01x,50.1,Depth:22.5% Handle:6.0% Vol:3.01x Target:50.56
9,MDRR,2026-06-30,CupHandle,11.65,7.44x,70.0,Depth:16.5% Handle:7.5% Vol:7.44x Target:13.52
10,DVXF,2026-07-06,CupHandle,27.40,7.98x,75.0,Depth:20.3% Handle:0.0% Vol:7.98x Target:32.59
11,CLOD,2026-07-06,CupHandle,31.97,1.55x,40.5,Depth:16.3% Handle:0.0% Vol:1.55x Target:36.77
12,CHRW,2026-07-14,CupHandle,199.61,1.36x,43.6,Depth:22.2% Handle:7.2% Vol:1.36x Target:242.59
13,DVXF,2026-07-02,CupHandle,26.90,3.22x,52.2,Depth:22.8% Handle:4.5% Vol:3.22x Target:32.94
14,CLOD,2026-07-09,CupHandle,32.07,1.70x,47.0,Depth:20.0% Handle:4.6% Vol:1.70x Target:38.24
15,ACNB,2026-06-26,DarvasBox,60.42,5.58x,68.0,Box:[55.73-58.54] Ht:4.8% Vol:5.58x Boxes:3 Stop:55.73
16,CPSS,2026-06-26,CupHandle,10.00,6.83x,70.0,Depth:22.1% Handle:7.5% Vol:6.83x Target:12.12
17,CIVB,2026-06-26,DarvasBox,28.67,8.28x,68.0,Box:[24.17-28.31] Ht:14.6% Vol:8.28x Boxes:4 Stop:24.17
18,CLOD,2026-07-14,CupHandle,31.93,1.71x,47.1,Depth:18.6% Handle:11.2% Vol:1.71x Target:37.59
19,BASG,2026-07-14,CupHandle,27.20,2.92x,59.2,Depth:17.8% Handle:2.2% Vol:2.92x Target:31.94
20,LCDS,2026-07-14,CupHandle,72.12,5.20x,80.0,Depth:13.4% Handle:1.3% Vol:5.20x Target:81.50
