# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NASDAQ_Yahoo | End Date: 2026-08-28
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,CME,2026-08-28,CupHandle,285.80,85.1,1,75.4,68.0,95.8,60.6,5.7
2,OFED,2026-08-21,DarvasBox,21.75,84.5,1,85.5,57.4,75.0,31.0,19.6
3,WAY,2026-08-25,CupHandle,24.21,84.2,1,84.6,68.0,49.5,53.5,8.6
4,CIBR,2026-08-13,DarvasBox,102.20,84.2,1,83.0,68.0,38.5,48.9,2.9
5,TRMD,2026-08-27,CupHandle,31.80,82.4,1,76.5,70.7,77.1,83.4,11.4
6,NVDA,2026-08-27,CupHandle,227.98,81.0,1,75.2,68.0,60.9,71.0,12.1
7,SPAM,2026-08-10,DarvasBox,45.62,80.9,1,79.8,69.1,26.6,100.0,13.8
8,WCBR,2026-08-13,DarvasBox,43.80,80.1,1,84.3,68.0,31.2,37.6,15.1
9,TTAN,2026-08-11,CupHandle,88.39,80.1,1,76.4,70.1,70.8,51.6,0.0
10,FRHC,2026-08-18,CupHandle,160.80,79.9,1,74.4,69.5,86.5,64.3,1.1
11,QQUP,2026-08-27,CupHandle,63.66,79.2,1,68.8,68.0,95.8,68.1,13.9
12,NVCR,2026-08-19,CupHandle,18.20,78.0,1,79.9,30.4,89.1,38.1,2.9
13,AOTG,2026-08-10,CupHandle,63.43,77.8,1,69.3,67.7,99.5,35.6,20.9
14,QCOM,2026-08-27,CupHandle,164.78,77.8,1,66.6,68.7,92.2,59.7,2.9
15,CFFI,2026-08-26,DarvasBox,91.59,76.4,1,75.3,73.6,24.5,100.0,6.1
16,ROBT,2026-08-17,CupHandle,59.62,76.0,1,71.4,57.5,88.5,43.9,11.3
17,TEKY,2026-08-14,CupHandle,45.94,75.1,1,70.4,73.6,90.6,14.3,24.2
18,ANGO,2026-08-11,DarvasBox,15.75,74.6,1,78.5,32.4,78.1,36.2,0.0
19,LRGE,2026-08-28,CupHandle,88.83,74.5,1,64.9,59.7,99.5,70.3,13.3
20,NCSM,2026-08-28,CupHandle,51.64,74.4,1,74.9,64.3,45.8,96.9,19.0
21,CANC,2026-08-19,DarvasBox,45.19,73.6,1,90.7,26.6,35.9,48.9,22.7
22,STRC,2026-08-28,CupHandle,97.33,73.5,1,77.5,21.6,75.5,59.9,5.7
23,NESR,2026-08-10,DarvasBox,35.79,73.4,1,90.8,29.6,46.4,37.1,0.7
24,SAIL,2026-08-13,CupHandle,19.99,73.2,1,75.3,72.1,37.0,64.3,1.4
25,WVFC,2026-08-18,DarvasBox,19.99,73.2,1,78.5,71.8,77.1,75.6,25.6
26,DVQQ,2026-08-10,CupHandle,31.64,72.7,1,68.4,68.2,95.8,60.6,25.4
27,MTLS,2026-08-24,CupHandle,6.69,72.1,1,67.7,72.8,51.6,100.0,0.7
28,KRNY,2026-08-27,DarvasBox,10.01,71.9,1,76.2,67.9,81.8,55.2,0.0
29,ADP,2026-08-18,CupHandle,269.31,71.9,1,62.4,74.7,99.5,41.3,0.0
30,QQXL,2026-08-19,CupHandle,53.58,71.6,1,63.7,68.2,100.0,32.6,29.1
31,RELY,2026-08-24,CupHandle,26.59,71.1,1,76.6,73.3,16.1,43.6,12.1
32,RNW,2026-08-11,CupHandle,6.85,70.8,1,71.7,28.2,100.0,40.7,0.7
33,CNXC,2026-08-19,CupHandle,25.72,70.8,1,73.8,68.0,63.0,52.4,11.4
34,ENTA,2026-08-24,CupHandle,14.10,70.8,1,73.5,28.1,82.3,58.0,22.9
35,KFFB,2026-08-25,DarvasBox,5.83,70.5,1,87.7,27.6,14.6,78.6,13.4
36,BCIC,2026-08-28,CupHandle,7.78,70.5,1,74.0,30.6,77.1,55.1,19.6
37,DVSP,2026-08-17,CupHandle,30.26,70.5,1,71.6,51.2,95.8,40.9,25.6
38,PNQI,2026-08-28,CupHandle,53.36,70.4,1,71.6,32.0,89.6,71.5,16.4
39,ARVR,2026-08-18,CupHandle,56.44,70.3,1,68.6,30.4,98.4,74.9,14.3
40,AIPI,2026-08-27,CupHandle,37.65,70.1,1,59.7,74.0,83.9,52.4,5.7
41,NGNE,2026-08-12,CupHandle,36.98,69.8,1,77.8,15.0,63.5,54.0,0.0
42,IMVT,2026-08-12,DarvasBox,42.60,69.6,1,78.5,27.9,47.4,47.8,7.1
43,ADBE,2026-08-27,CupHandle,289.15,69.5,1,68.6,68.0,73.4,51.8,5.7
44,PDBA,2026-08-28,CupHandle,38.94,68.9,1,61.3,72.3,66.1,100.0,4.3
45,QYLG,2026-08-20,CupHandle,29.55,68.4,1,63.1,70.5,100.0,46.9,20.5
46,ARGX,2026-08-17,DarvasBox,987.84,68.4,1,88.8,19.6,34.9,42.2,0.7
47,FDSB,2026-08-14,DarvasBox,18.36,68.3,1,72.5,45.7,78.6,39.4,13.5
48,WNEB,2026-08-17,CupHandle,13.93,68.2,1,61.9,54.9,100.0,46.1,20.8
49,GCMG,2026-08-13,CupHandle,14.05,68.2,1,64.7,50.1,85.4,51.6,0.0
50,AXGN,2026-08-21,CupHandle,50.40,68.0,1,74.6,15.9,94.8,46.8,0.0
