List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,INTW,2026-01-09,CupHandle,64.35,76.9,2,80.6,76.1,50.0,89.2,15.3,,,,,
Top 50 Composite,2,SWBI,2026-01-09,CupHandle,10.78,74.4,3,76.4,71.1,64.6,60.6,0.0,,,,,
Top 50 Composite,3,DXCM,2026-01-12,CupHandle,70.98,74.0,3,78.6,56.5,67.7,76.3,0.0,,,,,
Top 50 Composite,4,SHLS,2026-01-12,CupHandle,9.62,72.3,3,73.9,59.0,88.0,63.6,0.0,,,,,
Top 50 Composite,5,GT,2026-01-06,CupHandle,9.26,70.9,3,78.7,56.5,55.2,53.1,0.0,,,,,
Top 50 Composite,6,SAMG,2026-01-05,CupHandle,15.67,70.8,3,73.4,73.3,75.0,39.6,10.9,,,,,
Top 50 Composite,7,AAON,2026-01-06,CupHandle,81.67,70.6,3,66.8,83.6,89.6,42.9,0.0,,,,,
Top 50 Composite,8,CHDN,2026-01-08,CupHandle,111.52,69.7,3,75.4,57.1,67.7,56.6,0.0,,,,,
Top 50 Composite,9,GDEN,2026-01-09,CupHandle,27.49,68.7,3,67.0,71.3,95.8,47.6,0.0,,,,,
Top 50 Composite,10,ATEX,2026-01-02,CupHandle,22.23,67.7,3,78.9,50.0,50.5,38.0,0.0,,,,,
Top 50 Composite,11,GILT,2026-01-12,CupHandle,17.07,67.6,3,75.1,64.2,41.7,89.4,6.8,,,,,
Top 50 Composite,12,APPS,2025-12-31,CupHandle,5.00,67.3,3,71.6,68.8,62.5,46.2,0.0,,,,,
Top 50 Composite,13,MSFD,2026-01-02,CupHandle,11.77,67.3,3,68.6,71.6,70.8,68.1,0.0,,,,,
Top 50 Composite,14,CYRX,2026-01-07,CupHandle,10.66,67.0,3,68.6,74.3,70.3,51.1,0.5,,,,,
Top 50 Composite,15,AMUU,2026-01-06,CupHandle,54.48,66.9,3,71.5,74.8,50.0,60.7,4.0,,,,,
Top 50 Composite,16,DLTR,2026-01-06,CupHandle,133.78,66.6,3,67.7,82.5,60.4,49.6,0.0,,,,,
Top 50 Composite,17,SFIX,2026-01-12,CupHandle,5.51,66.3,3,74.4,66.4,38.0,60.7,0.0,,,,,
Top 50 Composite,18,OS,2026-01-06,CupHandle,23.61,66.2,3,71.0,53.2,94.8,34.7,7.1,,,,,
Top 50 Composite,19,HSIC,2026-01-06,CupHandle,78.55,66.1,3,67.8,68.6,79.2,51.5,0.0,,,,,
Top 50 Composite,20,LSCC,2026-01-06,CupHandle,85.44,66.0,3,79.3,33.9,57.3,62.5,0.0,,,,,
Top 50 Composite,21,AMAL,2026-01-05,CupHandle,33.55,65.9,3,79.3,38.1,54.2,47.5,0.0,,,,,
Top 50 Composite,22,SPRX,2026-01-09,CupHandle,40.62,65.7,3,68.4,69.1,67.7,65.5,0.0,,,,,
Top 50 Composite,23,WLDN,2026-01-06,CupHandle,113.90,65.7,3,70.5,67.1,51.0,86.2,0.0,,,,,
Top 50 Composite,24,DKNG,2026-01-08,CupHandle,35.98,65.6,3,73.0,52.9,66.7,55.6,0.0,,,,,
Top 50 Composite,25,AENT,2025-12-29,CupHandle,8.43,65.6,3,78.0,44.6,54.2,56.2,8.6,,,,,
Top 50 Composite,26,LINC,2025-12-31,CupHandle,24.15,65.5,3,69.8,63.4,65.6,69.1,0.0,,,,,
Top 50 Composite,27,JRVR,2026-01-12,CupHandle,6.59,65.4,3,72.7,74.7,30.2,60.4,0.0,,,,,
Top 50 Composite,28,SNCY,2026-01-12,CupHandle,17.44,65.3,3,72.2,50.0,66.1,100.0,5.4,,,,,
Top 50 Composite,29,MDRR,2026-01-09,CupHandle,12.25,64.7,4,69.4,74.2,54.2,91.5,19.2,,,,,
Top 50 Composite,30,BLFS,2026-01-06,CupHandle,26.35,64.5,4,67.0,67.0,77.1,53.3,0.0,,,,,
Top 50 Composite,31,MESO,2026-01-12,CupHandle,18.67,64.0,4,81.5,39.2,22.9,63.2,1.0,,,,,
Top 50 Composite,32,MEOH,2026-01-05,CupHandle,42.93,63.9,4,75.7,47.3,47.9,66.4,3.8,,,,,
Top 50 Composite,33,HTLD,2026-01-06,CupHandle,10.40,63.2,4,75.4,60.2,26.0,55.3,1.5,,,,,
Top 50 Composite,34,NYAX,2026-01-09,CupHandle,55.60,63.2,4,71.7,71.8,51.0,53.5,26.5,,,,,
Top 50 Composite,35,SCDS,2026-01-02,CupHandle,60.43,63.1,4,65.3,74.3,89.1,55.9,28.0,,,,,
Top 50 Composite,36,APEI,2025-12-31,CupHandle,37.80,62.6,4,67.3,50.0,92.2,51.4,0.0,,,,,
Top 50 Composite,37,SAIA,2026-01-06,CupHandle,365.62,62.4,4,75.1,32.4,69.3,52.2,0.4,,,,,
Top 50 Composite,38,SYNA,2026-01-05,CupHandle,79.16,62.0,4,77.5,50.0,14.1,82.7,1.7,,,,,
Top 50 Composite,39,STEP,2026-01-09,CupHandle,72.12,61.7,4,61.7,82.8,68.2,60.6,1.6,,,,,
Top 50 Composite,40,BDSX,2026-01-12,CupHandle,8.08,61.5,4,67.7,82.5,17.2,100.0,2.0,,,,,
Top 50 Composite,41,JACK,2026-01-08,CupHandle,22.57,61.5,4,71.1,68.4,31.2,50.5,0.0,,,,,
Top 50 Composite,42,SNPS,2026-01-05,CupHandle,494.19,61.5,4,76.8,28.6,59.4,50.4,0.0,,,,,
Top 50 Composite,43,QTRX,2026-01-09,CupHandle,8.06,61.5,4,74.8,60.1,10.4,83.7,0.0,,,,,
Top 50 Composite,44,GDS,2026-01-08,CupHandle,41.75,61.4,4,74.8,52.5,19.8,100.0,2.4,,,,,
Top 50 Composite,45,LIND,2026-01-07,CupHandle,14.98,61.2,4,70.3,71.8,16.1,94.3,0.3,,,,,
Top 50 Composite,46,ESCA,2026-01-06,CupHandle,14.00,61.0,4,66.7,62.4,81.8,37.7,15.4,,,,,
Top 50 Composite,47,PALD,2026-01-05,CupHandle,24.06,60.8,4,70.9,68.7,50.0,24.2,19.3,,,,,
Top 50 Composite,48,OPCH,2026-01-09,CupHandle,31.80,60.4,4,69.3,53.2,55.7,78.0,3.2,,,,,
Top 50 Composite,49,VBNK,2026-01-06,CupHandle,15.00,60.3,4,68.9,74.1,35.9,56.0,11.6,,,,,
Top 50 Composite,50,TPG,2026-01-09,CupHandle,66.79,60.3,4,66.7,55.9,67.2,70.2,0.0,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,CHR,,,     1.79,,,,,,,,NASDAQ,4375.00,1082602,,
Top 20 Momentum,2,WOK,,,     2.36,,,,,,,,NASDAQ,4084.40,10850782,,
Top 20 Momentum,3,VSA,,,     2.30,,,,,,,,NASDAQ,3181.03,1335607,,
Top 20 Momentum,4,DRCT,,,     1.69,,,,,,,,NASDAQ,2512.06,17489413,,
Top 20 Momentum,5,RVYL,,,     5.39,,,,,,,,NASDAQ,2193.62,1037180,,
Top 20 Momentum,6,BIYA,,,     4.51,,,,,,,,NASDAQ,2123.87,162062,,
Top 20 Momentum,7,ORIS,,,     1.89,,,,,,,,NASDAQ,2042.86,1860981,,
