List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,ESGE,2026-05-06,DarvasBox,53.88,82.1,1,87.9,74.9,93.2,100.0,1.7,,,,,
Top 50 Composite,2,KALV,2026-04-29,DarvasBox,26.67,78.4,1,83.2,62.3,54.7,32.5,3.2,,,,,
Top 50 Composite,3,NWPX,2026-04-30,DarvasBox,98.34,76.2,1,90.6,55.0,37.5,51.4,5.3,,,,,
Top 50 Composite,4,HAWK,2026-05-07,CupHandle,34.00,76.0,1,87.0,68.0,0.5,100.0,7.1,,,,,
Top 50 Composite,5,LINC,2026-05-05,DarvasBox,45.09,73.0,1,87.2,64.1,67.2,87.4,0.0,,,,,
Top 50 Composite,6,BBP,2026-05-06,DarvasBox,90.39,71.8,1,92.9,47.4,89.6,100.0,12.0,,,,,
Top 50 Composite,7,USGO,2026-05-06,CupHandle,13.53,71.3,1,80.7,50.1,99.5,62.5,5.0,,,,,
Top 50 Composite,8,XPER,2026-05-07,CupHandle,7.72,69.9,1,73.1,71.8,38.5,88.5,4.1,,,,,
Top 50 Composite,9,VECO,2026-05-06,DarvasBox,62.01,68.9,1,83.3,51.1,0.5,82.1,2.7,,,,,
Top 50 Composite,10,BLBD,2026-05-07,DarvasBox,70.84,68.5,1,84.8,68.0,25.5,85.0,0.7,,,,,
Top 50 Composite,11,KNSA,2026-04-28,DarvasBox,53.85,68.5,1,89.6,48.5,34.9,35.6,2.9,,,,,
Top 50 Composite,12,SETM,2026-05-07,CupHandle,37.88,68.3,1,76.6,69.4,89.6,71.8,11.4,,,,,
Top 50 Composite,13,RDNW,2026-04-20,CupHandle,6.95,68.2,1,71.0,74.4,96.4,38.2,5.7,,,,,
Top 50 Composite,14,ASTL,2026-05-07,CupHandle,5.21,67.9,1,79.9,73.3,59.9,66.1,0.0,,,,,
Top 50 Composite,15,TEKX,2026-05-05,DarvasBox,55.13,67.9,1,78.3,68.0,32.8,58.4,17.9,,,,,
Top 50 Composite,16,SPRX,2026-05-07,CupHandle,43.90,67.6,1,77.6,54.6,87.5,56.2,2.9,,,,,
Top 50 Composite,17,RAPP,2026-04-17,CupHandle,39.71,67.3,1,80.4,70.8,43.2,53.2,0.0,,,,,
Top 50 Composite,18,ENPH,2026-05-05,CupHandle,36.02,67.1,1,73.4,74.8,57.8,38.4,14.3,,,,,
Top 50 Composite,19,NVAX,2026-05-06,CupHandle,9.36,66.8,1,69.2,68.0,70.8,100.0,2.0,,,,,
Top 50 Composite,20,CRWD,2026-05-07,CupHandle,505.72,66.5,1,69.0,65.9,70.8,55.4,8.5,,,,,
Top 50 Composite,21,AIQ,2026-05-07,CupHandle,59.99,66.0,1,68.1,74.5,69.3,65.0,5.7,,,,,
Top 50 Composite,22,TAOX,2026-05-06,CupHandle,6.44,65.7,1,70.5,62.2,59.4,59.4,6.4,,,,,
Top 50 Composite,23,ELVA,2026-04-23,CupHandle,10.15,65.5,1,68.2,72.7,59.9,46.7,0.0,,,,,
Top 50 Composite,24,NYAX,2026-04-23,DarvasBox,66.24,65.2,1,90.7,36.5,45.3,38.8,16.9,,,,,
Top 50 Composite,25,PANW,2026-05-07,CupHandle,196.53,64.7,1,68.3,71.9,54.7,56.6,8.9,,,,,
Top 50 Composite,26,JAZZ,2026-05-06,DarvasBox,228.57,64.7,1,78.2,68.0,34.4,62.8,1.9,,,,,
Top 50 Composite,27,LANDP,2026-04-23,DarvasBox,20.92,63.7,1,92.1,67.8,14.6,25.4,10.3,,,,,
Top 50 Composite,28,DVQQ,2026-05-07,CupHandle,30.24,63.7,1,68.3,74.0,79.7,100.0,25.4,,,,,
Top 50 Composite,29,FNY,2026-05-06,DarvasBox,104.72,63.3,1,84.4,26.5,81.2,51.3,22.4,,,,,
Top 50 Composite,30,WERN,2026-04-30,CupHandle,36.87,63.1,1,76.9,54.8,59.4,57.6,0.7,,,,,
Top 50 Composite,31,QLDY,2026-05-07,CupHandle,46.29,62.8,1,74.1,62.0,50.0,90.0,17.2,,,,,
Top 50 Composite,32,SLVR,2026-05-07,CupHandle,63.92,62.8,1,68.7,68.0,91.1,55.4,0.7,,,,,
Top 50 Composite,33,FROG,2026-05-07,CupHandle,57.02,62.6,1,65.4,68.0,63.5,76.8,12.1,,,,,
Top 50 Composite,34,LRCX,2026-05-06,DarvasBox,297.17,62.5,1,72.0,68.0,82.3,53.4,0.0,,,,,
Top 50 Composite,35,RARE,2026-05-06,CupHandle,25.93,62.5,1,74.3,73.0,40.6,59.6,11.4,,,,,
Top 50 Composite,36,LQDA,2026-04-17,CupHandle,39.47,62.3,1,72.7,62.9,85.9,55.2,0.0,,,,,
Top 50 Composite,37,VCTR,2026-05-07,CupHandle,83.69,62.3,1,72.4,68.0,25.5,65.0,1.8,,,,,
Top 50 Composite,38,KYTX,2026-04-20,CupHandle,11.25,62.0,1,84.6,43.2,39.1,25.8,0.7,,,,,
Top 50 Composite,39,FLYW,2026-05-04,CupHandle,14.22,62.0,1,70.4,70.8,16.7,88.4,10.3,,,,,
