List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50,1,NDSN,,STRONG_BUY,67.7,MEDIUM (72%),0.112,238.93,307.64,+28.76%,,,,
Top 50,2,LGN,,STRONG_BUY,61.5,HIGH (77%),0.605,45.96,52.6,+14.45%,,,,
Top 50,3,DGII,,STRONG_BUY,61.7,HIGH (76%),0.038,45.09,50.86,+12.80%,,,,
Top 50,4,BKR,,STRONG_BUY,64.8,MEDIUM (71%),0.117,50.2,58.69,+16.91%,,,,
Top 50,5,APA,,STRONG_BUY,61.8,MEDIUM (72%),0.153,25.28,31.63,+25.11%,,,,
Top 50,6,CCFE,,STRONG_BUY,57.1,MEDIUM (69%),0.131,27.25,33.56,+23.12%,,,,
Top 50,7,TSBK,,STRONG_BUY,57.4,MEDIUM (62%),0.095,34.63,43.12,+24.52%,,,,
Top 50,8,VONV,,STRONG_BUY,53.6,MEDIUM (65%),0.128,92.31,113.66,+23.13%,,,,
Top 50,9,BRKRP,,STRONG_BUY,50.5,MEDIUM (69%),0.512,372.7,415.44,+11.47%,,,,
Top 50,10,FANG,,STRONG_BUY,54.4,MEDIUM (60%),0.17,158.6,192.46,+21.35%,,,,
Top 50,11,INDB,,STRONG_BUY,52.9,MEDIUM (57%),0.068,73.64,87.62,+18.99%,,,,
Top 50,12,GINX,,STRONG_BUY,49.1,MEDIUM (61%),0.237,30.81,36.07,+17.08%,,,,
Top 50,13,UTHR,,STRONG_BUY,43.4,MEDIUM (62%),0.062,489.31,518.86,+6.04%,,,,
Top 50,14,TSLA,,STRONG_BUY,48.1,MEDIUM (53%),0.054,455.0,469.0,+3.08%,,,,
Top 50,15,EWJV,,STRONG_BUY,45.8,MEDIUM (55%),0.208,40.54,46.41,+14.48%,,,,
Top 50,16,IRMD,,STRONG_BUY,40.4,MEDIUM (62%),0.094,94.57,91.8,-2.93%,,,,
Top 50,17,AAPL,,STRONG_BUY,45.1,MEDIUM (53%),0.081,278.78,320.96,+15.13%,,,,
