List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,GUT,2026-06-23,DarvasBox,6.48,90.8,1,87.4,72.6,64.6,69.4,0.0,,,,,
Top 50 Composite,2,ACA,2026-06-22,DarvasBox,144.90,90.2,1,87.8,68.0,70.3,100.0,2.4,,,,,
Top 50 Composite,3,AXP,2026-06-15,Spoon,335.38,87.0,1,100.0,68.0,49.2,56.7,12.2,,,,,
Top 50 Composite,4,VNOpN,2026-06-16,CupHandle,17.53,86.6,1,100.0,65.0,100.0,59.1,22.6,,,,,
Top 50 Composite,5,GVA,2026-06-23,DarvasBox,150.08,83.6,1,89.8,70.4,27.1,63.0,0.0,,,,,
Top 50 Composite,6,LION,2026-06-16,DarvasBox,16.36,83.5,1,90.5,71.8,58.9,44.3,0.7,,,,,
Top 50 Composite,7,DCO,2026-06-11,DarvasBox,165.00,81.9,1,82.2,55.0,59.9,50.6,0.0,,,,,
Top 50 Composite,8,KREF,2026-06-08,CupHandle,6.97,81.8,1,81.0,53.1,70.8,31.8,18.6,,,,,
Top 50 Composite,9,GRC,2026-06-11,DarvasBox,82.82,81.7,1,86.4,23.1,90.6,67.9,0.0,,,,,
Top 50 Composite,10,VVV,2026-06-18,CupHandle,38.07,81.6,1,74.6,68.1,96.9,52.7,0.0,,,,,
Top 50 Composite,11,PRSU,2026-06-23,DarvasBox,52.18,80.2,1,78.5,79.1,53.6,68.4,4.7,,,,,
Top 50 Composite,12,IVT,2026-06-08,DarvasBox,34.28,79.7,1,93.8,73.8,2.1,51.7,11.4,,,,,
Top 50 Composite,13,CNI,2026-06-08,DarvasBox,120.81,79.1,1,84.4,64.8,43.8,43.6,0.0,,,,,
Top 50 Composite,14,CPA,2026-06-18,CupHandle,151.04,78.8,1,77.7,68.0,66.7,51.9,0.0,,,,,
Top 50 Composite,15,CDP,2026-06-09,DarvasBox,34.12,77.9,1,82.3,71.4,0.5,53.6,0.0,,,,,
Top 50 Composite,16,LOAR,2026-06-24,CupHandle,73.80,77.3,1,77.1,68.2,64.1,53.6,5.7,,,,,
Top 50 Composite,17,AERO,2026-06-16,CupHandle,17.24,77.2,1,74.9,67.8,50.0,46.7,0.0,,,,,
Top 50 Composite,18,GFF,2026-06-17,CupHandle,88.84,76.8,1,76.6,68.0,47.4,60.0,11.4,,,,,
Top 50 Composite,19,FOA,2026-06-24,CupHandle,21.47,75.9,1,72.1,68.0,75.0,52.6,14.3,,,,,
Top 50 Composite,20,MLR,2026-06-24,DarvasBox,50.79,75.5,1,69.3,73.6,68.8,66.3,5.5,,,,,
Top 50 Composite,21,YETI,2026-06-18,CupHandle,48.97,75.2,1,76.0,70.2,43.2,45.9,11.4,,,,,
Top 50 Composite,22,TFIN,2026-06-15,CupHandle,74.77,75.2,1,76.0,68.0,37.5,49.5,0.0,,,,,
Top 50 Composite,23,CW,2026-06-18,DarvasBox,771.93,74.6,1,84.2,41.0,49.5,63.4,11.6,,,,,
Top 50 Composite,24,AGM,2026-06-23,CupHandle,189.38,73.7,1,77.4,68.0,23.4,47.8,0.0,,,,,
Top 50 Composite,25,UVE,2026-06-23,CupHandle,39.97,73.5,1,70.4,68.0,86.5,47.7,0.0,,,,,
Top 50 Composite,26,FVR,2026-06-09,DarvasBox,19.47,73.2,1,79.2,60.4,23.4,58.1,11.4,,,,,
Top 50 Composite,27,ABX,2026-06-18,CupHandle,9.25,73.0,1,72.1,74.7,75.0,55.4,0.0,,,,,
Top 50 Composite,28,CUZ,2026-06-16,CupHandle,28.61,72.9,1,77.2,66.7,23.4,50.5,11.4,,,,,
Top 50 Composite,29,WKC,2026-06-16,CupHandle,31.37,72.7,1,75.0,52.1,57.3,80.5,11.4,,,,,
Top 50 Composite,30,BFS,2026-06-10,DarvasBox,37.82,72.5,1,75.5,71.1,19.3,54.7,11.1,,,,,
Top 50 Composite,31,BOOT,2026-06-22,CupHandle,178.46,72.3,1,74.2,70.5,18.8,59.3,5.7,,,,,
Top 50 Composite,32,IIPR,2026-06-11,CupHandle,61.77,72.2,1,71.8,68.0,62.5,30.8,11.4,,,,,
Top 50 Composite,33,PDM,2026-06-10,CupHandle,9.12,71.8,1,77.6,54.1,21.9,44.1,0.0,,,,,
Top 50 Composite,34,WRBY,2026-06-18,CupHandle,25.96,71.0,1,66.9,71.6,67.7,88.1,0.0,,,,,
Top 50 Composite,35,DIN,2026-06-15,CupHandle,32.29,71.0,1,69.7,56.3,81.2,36.9,0.0,,,,,
Top 50 Composite,36,LUV,2026-06-24,CupHandle,50.94,70.8,1,74.1,68.0,47.4,62.8,1.3,,,,,
Top 50 Composite,37,KWR,2026-06-24,CupHandle,153.66,70.3,1,70.2,68.9,56.8,48.6,0.0,,,,,
Top 50 Composite,38,ENVA,2026-06-11,CupHandle,189.59,70.2,1,77.7,68.0,25.5,66.3,6.2,,,,,
Top 50 Composite,39,FBP,2026-06-11,DarvasBox,25.00,70.2,1,68.4,72.4,56.8,51.7,1.2,,,,,
Top 50 Composite,40,HBB,2026-06-23,CupHandle,20.66,70.2,1,68.0,68.0,90.6,60.3,22.8,,,,,
Top 50 Composite,41,ODC,2026-06-04,DarvasBox,84.08,70.1,1,88.2,55.1,2.6,44.9,11.4,,,,,
Top 50 Composite,42,RBC,2026-06-18,DarvasBox,639.18,69.9,1,73.2,32.5,84.4,50.9,0.0,,,,,
Top 50 Composite,43,GTES,2026-06-23,CupHandle,27.25,69.8,1,80.2,15.0,52.6,51.0,0.0,,,,,
Top 50 Composite,44,BOW,2026-06-23,CupHandle,28.24,69.8,1,74.6,68.0,46.9,41.8,0.0,,,,,
Top 50 Composite,45,EVT,2026-06-04,DarvasBox,27.16,69.8,1,77.0,69.4,25.5,34.8,0.0,,,,,
Top 50 Composite,46,EFC,2026-06-16,CupHandle,13.67,69.4,1,68.9,73.1,51.6,65.6,0.0,,,,,
Top 50 Composite,47,PAG,2026-06-24,CupHandle,183.44,69.3,1,67.8,71.4,51.0,46.8,0.0,,,,,
Top 50 Composite,48,RM,2026-06-23,CupHandle,38.90,69.1,1,67.5,68.0,68.2,59.3,13.6,,,,,
Top 50 Composite,49,OC,2026-06-24,CupHandle,134.17,68.9,1,74.7,68.0,18.2,50.9,0.0,,,,,
Top 50 Composite,50,AMH,2026-06-04,Spoon,32.92,68.6,1,71.2,69.6,44.3,44.4,11.4,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,AVX,,,     5.70,,,,,,,,NYSE_Yahoo,894.76,229386,,
Top 20 Momentum,2,ALUR,,,     5.91,,,,,,,,NYSE_Yahoo,638.75,21620,,
