================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-03-15
Ranking Method: Baseline (Rule-Based)
Fallback Reason: Training error: Input y contains NaN.
Scoring: 60% Technical + 40% Fundamental
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Final   Tech    Fund    IC_10d    Pattern        
--------------------------------------------------------------------------------
1     A            nan     nan   42.79    0.0000  nan            
2     AA           nan     nan   45.75    0.0000  nan            
3     AAM          nan     nan   25.82    0.0000  nan            
4     AAMI         nan     nan   35.69    0.0000  nan            
5     AAP          nan     nan   25.86    0.0000  nan            
6     AAPB         nan     nan   24.00    0.0000  nan            
7     AAPW         nan     nan   24.00    0.0000  nan            
8     AAPw         nan     nan   24.00    0.0000  nan            
9     AAT          nan     nan   39.62    0.0000  nan            
10    AAUC         nan     nan   24.94    0.0000  nan            
11    AApB         nan     nan   24.00    0.0000  nan            
12    AB           nan     nan   30.19    0.0000  nan            
13    ABBV         nan     nan   29.86    0.0000  nan            
14    ABCB         nan     nan   44.53    0.0000  nan            
15    ABEV         nan     nan   45.92    0.0000  nan            
16    ABG          nan     nan   41.97    0.0000  nan            
17    ABM          nan     nan   43.10    0.0000  nan            
18    ABR          nan     nan   40.65    0.0000  nan            
19    ABT          nan     nan   40.44    0.0000  nan            
20    ABX          nan     nan   25.49    0.0000  nan            
21    ACA          nan     nan   43.15    0.0000  nan            
22    ACB          nan     nan   29.00    0.0000  nan            
23    ACCO         nan     nan   44.77    0.0000  nan            
24    ACEL         nan     nan   38.89    0.0000  nan            
25    ACH          nan     nan   25.47    0.0000  nan            
26    ACHR         nan     nan   29.75    0.0000  nan            
27    ACI          nan     nan   38.56    0.0000  nan            
28    ACIW         nan     nan   43.76    0.0000  nan            
29    ACIw         nan     nan   43.76    0.0000  nan            
30    ACL          nan     nan   24.00    0.0000  nan            
31    ACLO         nan     nan   24.00    0.0000  nan            
32    ACM          nan     nan   38.00    0.0000  nan            
33    ACN          nan     nan   45.82    0.0000  nan            
34    ACP          nan     nan   47.26    0.0000  nan            
35    ACPPA        nan     nan   24.00    0.0000  nan            
36    ACPpA        nan     nan   24.00    0.0000  nan            
37    ACR          nan     nan   38.77    0.0000  nan            
38    ACRE         nan     nan   20.71    0.0000  nan            
39    ACV          nan     nan   46.97    0.0000  nan            
40    ACVA         nan     nan   26.39    0.0000  nan            
41    AD           nan     nan   44.66    0.0000  nan            
42    ADC          nan     nan   29.06    0.0000  nan            
43    ADCT         nan     nan   30.16    0.0000  nan            
44    ADM          nan     nan   37.63    0.0000  nan            
45    ADNT         nan     nan    6.59    0.0000  nan            
46    ADT          nan     nan   39.45    0.0000  nan            
47    ADX          nan     nan   56.14    0.0000  nan            
48    AEB          nan     nan   41.37    0.0000  nan            
49    AEE          nan     nan   36.04    0.0000  nan            
50    AEFC         nan     nan   24.00    0.0000  nan            

================================================================================
